claim_id,post_file,claim_text,claim_type,attributed_source,needs_verification,is_illustrative
0176,2026-05-24-0700-cam-math-166.md,"The building ended up with three measurement cohorts: original-standard tenants (still on 210,000 SF), renewal tenants who had signed under BOMA 2024 language (using 223,800 SF), and two new tenants who had never been on the old standard.",industry-stat,,yes,no
0177,2026-05-24-0700-cam-math-166.md,"The net effect on any single tenant depended on whether their suite had been remeasured under BOMA 2024 (which some had, for the terrace-adjacent floors), how large their suite was, and whether they held BOMA-2017-locked or BOMA-as-amended language.",industry-stat,,yes,no
0178,2026-05-24-0700-cam-math-166.md,BOMA 2024's outdoor measurement framework is not a checkbox.,industry-stat,,yes,no
0179,2026-05-24-1430-war-stories-171.md,"A 60,000 SF office tenant, a 22% year-over-year CAM increase, and a documentation gap that turned a defensible single-year billing into a three-year gross-up dispute.",percentage,,no,no
0180,2026-05-24-1430-war-stories-171.md,Their controller flags a 22% year-over-year increase in total CAM charges. significantly above what they expected based on their budgeted estimate.,percentage,,no,no
0181,2026-05-24-1900-anti-integration-174.md,"A controller who can translate ""$45,000 in recovered operating expenses"" into ""$750,000 in property value at a 6% cap rate"" is speaking the language of ownership.",percentage,,no,no
0182,2026-05-24-2030-engagement-175.md,"Commercial landlords miss up to 3.5% of operating expense recoveries every year, per BOMA EER and IREM Income/Expense Analysis benchmarks.",industry-stat,BOMA EER and IREM Income,yes,no
0183,2026-05-25-0900-anti-integration-179.md,Studies find error rates of 1-5% in cells containing formulas.,percentage,,no,no
0184,2026-05-25-0900-anti-integration-179.md,"When that institutional knowledge leaves, the typical cost: 2-4 weeks of delayed statements plus $5,000-$15,000 in consultant fees to reconstruct the process.",dollar-figure,,no,no
0185,2026-05-25-1000-cam-math-180.md,"The 20% vacancy lowered the actual bill by $22,500.",percentage,,no,no
0186,2026-05-25-1000-cam-math-180.md,But That reduction doesn't belong to the 80% of tenants who are present.,percentage,,no,no
0187,2026-05-25-1100-industry-news-181.md,IREM operating expense benchmarks give property managers a reference point that most of them underuse.,industry-stat,,yes,no
0188,2026-05-25-1100-industry-news-181.md,The practical use of IREM benchmarks in reconciliation is a two-step process.,industry-stat,,yes,no
0189,2026-05-25-1100-industry-news-181.md,"A building within the IREM range overall can still have a property tax line that's 40% above comparable buildings, which will generate a tenant question during reconciliation season.",industry-stat,,yes,no
0190,2026-05-25-1300-erp-workarounds-183.md,Re-measurement after a renovation or BOMA standard update requires a manual update before the pro-rata calculation runs. - Fourth: gross-up applied to the full expense pool instead of variable expenses only.,industry-stat,,yes,no
0191,2026-05-25-1300-erp-workarounds-183.md,"""BOMA re-measurement?"" (over SF frozen point)",industry-stat,,yes,no
0192,2026-05-25-1800-cam-math-188.md,"An analyst working on five properties simultaneously, pulling GL exports that all look similar because they come from the same Yardi instance.",vendor-product,,yes,no
0193,2026-05-26-0600-cam-math-191.md,"Tenant B's lease: ""All CapEx as defined under GAAP excluded."" Not recoverable.",legal-regulatory,,yes,no
0194,2026-05-26-0700-erp-workarounds-192.md,Property taxes and insurance premiums that default to Variable in a building at 80% occupancy produce a gross-up multiplier of 1.1875 applied to expenses that do not actually vary with occupancy.,percentage,,no,no
0195,2026-05-26-0700-erp-workarounds-192.md,"If gross-up is set to 90% when leases say 95%, MRI produces the 90% result without flagging that the configuration diverges from the lease.",vendor-product,,yes,no
0196,2026-05-26-0800-war-stories-193.md,"At a 6% cap rate, every $1 of annual NOI difference is worth $16.67 in asset value.",percentage,,no,no
0197,2026-05-26-0900-anti-integration-194.md,That is the standard GAAP requires.,legal-regulatory,,yes,no
0198,2026-05-26-1000-cam-math-195.md,Insurance premiums increased 8% at renewal.,percentage,,no,no
0199,2026-05-26-1100-industry-news-196.md,"""A CAM expense per square foot that is 20% above BOMA or IREM benchmarks for the property type is not necessarily an overbilling.",industry-stat,,yes,no
0200,2026-05-26-1200-cam-math-197.md,"Property taxes had been grossed up at a 95%/82% occupancy ratio, adding $7,200 to the pool.",percentage,,no,no
0201,2026-05-26-1400-war-stories-199.md,"On a $3 million expense base, that 5-point gap is $150,000 per year in unrecovered cost. - At a 6% cap rate, $150,000 in annual NOI is $2.5 million in asset value.",percentage,,no,no
0202,2026-05-26-1400-war-stories-199.md,"""$2.5M in suppressed value at 6% cap rate"" (over cap rate math)",percentage,,no,no
0203,2026-05-26-1500-cam-math-200.md,More tenants. specifically in California. now have SB 1103 rights requiring 30-day landlord responses.,legal-regulatory,,yes,no
0204,2026-05-26-1600-anti-integration-201.md,"AI extraction with human spot-checking reduces that to roughly 120 hours of review, saving $27,000 annually at $75 per hour fully loaded.",dollar-figure,,no,no
0205,2026-05-26-1600-anti-integration-201.md,"AI can extract the clause that reads ""Tenant shall pay its proportionate share of Operating Expenses, excluding capital expenditures with a useful life in excess of five years."" It should not decide what that clause means when applied to $85,000 in parking garage waterproofing.",dollar-figure,,no,no
0206,2026-05-26-1700-founder-202.md,BOMA denominators.,industry-stat,,yes,no
0207,2026-05-26-2000-engagement-205.md,"The figure appears in BOMA EER and IREM Income/Expense Analysis benchmarks, which put typical leakage at up to 3.5% by property type.",industry-stat,,yes,no
0208,2026-05-27-0600-cam-math-206.md,"The pool included $340,000 in property taxes and $87,000 in building insurance.",dollar-figure,,no,no
0209,2026-05-27-0600-cam-math-206.md,"The incorrect base that had been used: $707,000. the full pool including property taxes and insurance.",dollar-figure,,no,no
0210,2026-05-27-0900-anti-integration-209.md,"Tenant audit firms typically work on contingency, with contingency fee structures that typically run 20-40% of recovered amounts, per published tenant audit firm rate schedules.",percentage,,no,no
0211,2026-05-27-1100-industry-news-211.md,"They verify that the CAM pool total matches the GL, that the gross-up factor is appropriate for the actual occupancy, that property taxes and insurance are excluded from the variable pool, and that the pro-rata shares sum to 100% of the denominator.",percentage,,no,no
0212,2026-05-27-1200-cam-math-212.md,Insurance premiums increased 31% at renewal.,percentage,,no,no
0213,2026-05-27-1300-erp-workarounds-213.md,At the other end: your property manager exports a CSV report from Yardi and uploads it.,vendor-product,,yes,no
0214,2026-05-28-0600-cam-math-221.md,The standard remedy is base year normalization: gross up the actual base year expenses to what they would have been at stabilized occupancy (typically 95%).,percentage,,no,no
0215,2026-05-28-0700-erp-workarounds-222.md,"What ""replace Yardi"" actually requires",vendor-product,,yes,no
0216,2026-05-28-0700-erp-workarounds-222.md,Cost: $500K-$2M+ for mid-market portfolios.,dollar-figure,,no,no
0217,2026-05-28-0700-erp-workarounds-222.md,Export GL detail from Yardi.,vendor-product,,yes,no
0218,2026-05-28-0800-war-stories-223.md,Their CPA flagged the ASC 842 workpaper.,legal-regulatory,,yes,no
0219,2026-05-28-0800-war-stories-223.md,"Second, the tenant's CPA flagged the CAM statement as part of ASC 842 lease accounting work.",legal-regulatory,,yes,no
0220,2026-05-28-1100-industry-news-226.md,"""Based on IREM survey data on reconciliation workloads, a standard CAM reconciliation takes 8 to 15 analyst hours per building.",industry-stat,,yes,no
0221,2026-05-28-1100-industry-news-226.md,"Based on IREM survey data on reconciliation workloads, the 8-15 hour range per building depends on complexity: number of leases, number of expense categories, whether the gross-up requires detailed occupancy documentation,.",industry-stat,,yes,no
0222,2026-05-28-1200-cam-math-227.md,Per Bureau of Labor Statistics CPI data for building maintenance and services:,industry-stat,Bureau of Labor Statistics CPI,yes,no
0223,2026-05-28-1200-cam-math-227.md,Janitorial: up 3.8% annually on average.,percentage,,no,no
0224,2026-05-28-1200-cam-math-227.md,Repairs and maintenance: up 5.0% annually.,percentage,,no,no
0225,2026-05-28-1200-cam-math-227.md,Insurance premiums: up 8-15% annually since 2023.,percentage,,yes,no
0226,2026-05-28-1300-erp-workarounds-228.md,"On a 200,000 SF building with 15% vacancy, Physical and Economic occupancy can diverge by 4-5 percentage points. a $43,200 annual difference on a $600,000 variable expense pool.",percentage,,no,no
0227,2026-05-28-1500-cam-math-230.md,Correct target from the lease. typically 95%.,percentage,,no,no
0228,2026-05-28-1500-cam-math-230.md,Confirm the building RSF basis matches the BOMA standard cited in each tenant's lease.,industry-stat,,yes,no
0229,2026-05-28-1600-anti-integration-231.md,ASC 842 and IFRS 16 raised the stakes for lease data accuracy.,legal-regulatory,,yes,no
0230,2026-05-28-1800-cam-math-233.md,The following is an illustrative scenario based on a 12-property BOMA 2024 transition:,industry-stat,,yes,yes
0231,2026-05-28-1800-cam-math-233.md,The asset management team had been planning the BOMA 2024 transition for eighteen months.,industry-stat,,yes,no
0232,2026-05-28-1800-cam-math-233.md,"The plan: dual measurements under both BOMA 2017 and BOMA 2024, lease review by the legal team to identify which leases referenced ""BOMA standards as amended"" versus fixed-standard language, tenant notifications 90 days before any denominator change, and system updates to follow.",industry-stat,,yes,no
0233,2026-05-28-1800-cam-math-233.md,The dual measurement phase ran two months longer than planned because the building measurement firm's BOMA 2024 methodology had to be verified. several outdoor amenity spaces that the firm initially excluded from the remeasurement qualified under the new standard's criteria.,industry-stat,,yes,no
0234,2026-05-28-1800-cam-math-233.md,"By mid-Q2, the legal review had produced a result that surprised no one in retrospect: 40% of leases had language that permitted applying current BOMA standards.",industry-stat,,yes,no
0235,2026-05-28-1800-cam-math-233.md,35% had language locking the measurement to the BOMA standard in effect at lease commencement.,industry-stat,,yes,no
0236,2026-05-28-1800-cam-math-233.md,"The first property with BOMA 2024 denominators applied to eligible leases produced a denominator increase of 4.2% a 14,000 SF rooftop terrace and 4,800 SF of courtyard area that now qualified as rentable SF.",industry-stat,,yes,no
0237,2026-05-28-1800-cam-math-233.md,"At a total project cost of roughly $27,000 across the four properties in the first phase, the BOMA 2024 implementation was within range of the $13,500-$39,500 per-property cost estimate in the guide.",industry-stat,,yes,no
0238,2026-05-29-0600-cam-math-236.md,"On a 100,000 SF building, BOMA 2024 adds 4,800 SF of rentable area.",industry-stat,,yes,no
0239,2026-05-29-0700-erp-workarounds-237.md,The Yardi Voyager export is not the hard part of CAM reconciliation.,vendor-product,,yes,no
0240,2026-05-29-0700-erp-workarounds-237.md,"The five places exports break down: date range mismatch (accrual period doesn't match cash entries), entity filter too narrow (intercompany allocations don't appear), account scope incomplete (GL accounts added mid-year weren't included), format changes after a Yardi update (column order shifted, c…",vendor-product,,yes,no
0241,2026-05-29-0700-erp-workarounds-237.md,"Exporting from Yardi in a way that captures the right data, with the right parameters, for the right period, from the right entities. that requires knowing exactly which failure modes apply to your installation.",vendor-product,,yes,no
0242,2026-05-29-0900-anti-integration-239.md,"At a 6% cap rate, it costs $833,000 in asset value.",percentage,,no,no
0243,2026-05-29-0900-anti-integration-239.md,"A systematic underbilling of $50,000 per year reduces NOI by $50,000, which reduces the property's implied value by $833,000 at a 6% cap rate.",percentage,,no,no
0244,2026-05-29-0900-anti-integration-239.md,Raymond Panko's spreadsheet error research (published via EuSpRIG) found errors in 88% of corporate financial spreadsheet models. meaning 88% of professionally produced spreadsheets contain at least one error.,industry-stat,EuSpRIG,yes,no
0245,2026-05-29-1000-cam-math-240.md,A portfolio where tenants don't audit but still have 40% of reconciliations containing material errors has a 0% dispute rate and a significant liability.,percentage,,no,no
0246,2026-05-29-1100-industry-news-241.md,How to benchmark operating expenses against BOMA and IREM,industry-stat,,yes,no
0247,2026-05-29-1100-industry-news-241.md,"BOMA Experience Exchange Report (EER): office, retail, industrial.",industry-stat,,yes,no
0248,2026-05-29-1100-industry-news-241.md,IREM Income/Expense Analysis: multifamily and commercial.,industry-stat,,yes,no
0249,2026-05-29-1100-industry-news-241.md,BOMA and IREM use standardized expense categories.,industry-stat,,yes,no
0250,2026-05-29-1100-industry-news-241.md,A building above BOMA benchmarks is not automatically overcharging tenants.,industry-stat,,yes,no
0251,2026-05-29-1100-industry-news-241.md,"But ""we're within BOMA benchmarks"" is a much easier conversation to have than ""we can't explain the variance.""",industry-stat,,yes,no
0252,2026-05-29-1300-erp-workarounds-243.md,MRI's GL export for CAM reconciliation requires four specific reports to capture the full picture.,vendor-product,,yes,no
0253,2026-05-29-1300-erp-workarounds-243.md,The MRI export procedure is well-documented.,vendor-product,,yes,no
0254,2026-05-29-1400-war-stories-244.md,"For a retail property with $3.5M in operating expenses, running at 2.5% leakage. the midpoint of BOMA EER retail benchmarks. the under-recovery is $87,500 per year.",industry-stat,,yes,no
0255,2026-05-29-1400-war-stories-244.md,"Per BOMA EER and IREM Income/Expense Analysis benchmarks, typical annual leakage by property type: retail 1.5-3.5%, office 1.0-2.5%, industrial 0.5-1.5%, medical office 2.0-3.5%.",industry-stat,BOMA EER and IREM Income,yes,no
0256,2026-05-29-1400-war-stories-244.md,"At a 6% cap rate, the owner is suppressing $1.46M in asset value annually. not from market conditions, but from a reconciliation that doesn't reflect what the lease permits.",percentage,,no,no
0257,2026-05-29-1600-anti-integration-246.md,"For a 20-property portfolio with $2M in annual operating expenses across properties, systematic underbilling or overbilling compounds year over year.",dollar-figure,,no,no
0258,2026-05-29-1700-founder-247.md,BOMA methodology changes between lease generations.,industry-stat,,yes,no
0259,2026-05-29-1700-founder-247.md,"If the denominator for an existing tenant was set under an older measurement standard and a new tenant on the same floor was measured under BOMA 2024, the pro-rata math is inconsistent.",industry-stat,,yes,no
0260,2026-05-29-1900-product-249.md,"For most portfolios with CAM recovery leakage in the 1-3.5% range documented in BOMA EER and IREM benchmarks, the first run usually answers that.",industry-stat,,yes,no
0261,2026-05-30-0700-cam-math-251.md,"A denominator change. from a BOMA remeasurement, an anchor departure, or a common area reclassification. shifts every tenant's pro-rata share simultaneously.",industry-stat,,yes,no
0262,2026-05-30-0700-cam-math-251.md,"There are five denominator change triggers that require documentation: BOMA remeasurement, anchor departure or space reclassification, common area expansion, tenant expansion that changes the denominator pool, and BOMA standard update.",industry-stat,,yes,no
0263,2026-05-30-1000-cam-math-253.md,"A BOMA remeasurement in 2022 had added 3,800 SF to the certified area.",industry-stat,,yes,no
0264,2026-05-30-1000-cam-math-253.md,"The fix required rebuilding the denominator history from the BOMA remeasurement forward, reconciling each event against the certified measurement certificate and the lease amendments, and producing amended statements for the three years within the audit window.",industry-stat,,yes,no
0265,2026-05-30-1000-cam-math-253.md,"The 3,300 SF discrepancy from the BOMA remeasurement alone would have been found in 2022.",industry-stat,,yes,no
0266,2026-05-30-1900-anti-integration-259.md,"$100,000 in NOI = approximately $1-2 million in asset value at market cap rates.",dollar-figure,,no,no
0267,2026-05-30-1900-anti-integration-259.md,Legal exposure: California SB 1103,legal-regulatory,,yes,no
0268,2026-05-30-1900-anti-integration-259.md,California's SB 1103 imposes an 18-month deadline for delivering reconciliation statements to qualified commercial tenants.,legal-regulatory,,yes,no
0269,2026-05-30-1900-anti-integration-259.md,"SB 1103 is California-specific, but similar audit window provisions exist in commercial leases across all markets.",legal-regulatory,,yes,no
0270,2026-05-30-2030-engagement-260.md,"A non-cumulative cap limits the year-over-year increase in controllable CAM expenses to a fixed percentage, typically 5%.",percentage,,no,no
0271,2026-05-31-0700-cam-math-261.md,"The year-over-year increase was 11.8% notable but not alarming, given the prior three years had averaged 4.2% annually.",percentage,,no,no
0272,2026-05-31-0700-cam-math-261.md,"The janitorial line had increased 47% year over year. from $162,000 to $238,000.",percentage,,no,no
0273,2026-05-31-0700-cam-math-261.md,A line item that jumped 47% year over year and wasn't investigated before the statement was sent is a potential dispute waiting on the tenant's review calendar.,percentage,,no,no
0274,2026-05-31-0830-war-stories-262.md,"Cell A44. a $142,000 annual insurance premium. fell out of the sum.",dollar-figure,,no,no
0275,2026-05-31-1130-anti-integration-264.md,California SB 1103 creates an 18-month hard deadline for delivering reconciliation statements to qualified commercial tenants.,legal-regulatory,,yes,no
0276,2026-05-31-1430-war-stories-266.md,SB 1103 authorizes treble damages for willful overbilling against qualifying small-business tenants.,legal-regulatory,,yes,no
0277,2026-05-31-1730-founder-268.md,"The recovery leakage documented in BOMA EER and IREM benchmarks (up to 3.5% by property type) is not an outlier. - The source is not fraud, bad software, or incompetent accounting.",industry-stat,,yes,no
0278,2026-05-31-1730-founder-268.md,"""Up to 3.5% leakage (BOMA/IREM)"" (over point 1)",industry-stat,,yes,no
0279,2026-06-01-0600-cam-math-271.md,"In modeled scenarios across typical portfolio sizes, the per-building recovery gap often runs $15,000-$30,000 per year. the difference between what a building should collect and what it actually collects, after netting over-billings and under-billings, represents money that flows neither to the lan…",dollar-figure,,no,no
0280,2026-06-01-0600-cam-math-271.md,"Capitalized at a 6% cap rate, it's $5-10 million in understated portfolio value.",percentage,,no,no
0281,2026-06-01-0700-erp-workarounds-272.md,"RealPage CAM exports arrive with four structural data issues that silently corrupt reconciliation totals: embedded subtotal rows, multi-line descriptions, inconsistent date formats, and blank separator rows.",vendor-product,,yes,no
0282,2026-06-01-0700-erp-workarounds-272.md,The four cleanup steps that RealPage exports require before they're usable as source data for independent reconciliation:,vendor-product,,yes,no
0283,2026-06-01-0700-erp-workarounds-272.md,This is the most common source of import errors from RealPage data.,vendor-product,,yes,no
0284,2026-06-01-0700-erp-workarounds-272.md,"RealPage may export dates in different formats depending on the report: MM/DD/YYYY in the rent roll, YYYY-MM-DD in the GL detail, and text-formatted dates (March 31, 2025) in the recovery reconciliation.",vendor-product,,yes,no
0285,2026-06-01-0700-erp-workarounds-272.md,"Once the column mapping is saved, subsequent exports from the same RealPage instance require the same cleanup but take less time.",vendor-product,,yes,no
0286,2026-06-01-0900-anti-integration-274.md,"A property controller who can translate a $45,000 gross-up correction into $750,000 in property value at a 6% cap rate is not doing accounting anymore.",percentage,,no,no
0287,2026-06-01-0900-anti-integration-274.md,"Per IREM and BOMA compensation surveys, approximate salary ranges:",industry-stat,IREM and BOMA,yes,no
0288,2026-06-01-0900-anti-integration-274.md,"NOI impact translation: converting ""$45,000 in recovered operating expenses"" to ""$750,000 in property value at a 6% cap rate.""",percentage,,no,no
0289,2026-06-01-0900-anti-integration-274.md,"According to MSCI Real Assets, U.S. commercial real estate represents approximately $20 trillion in assets.",industry-stat,MSCI Real Assets,yes,no
0290,2026-06-01-0900-anti-integration-274.md,The controller who shows ownership that fixing configuration errors added $180K to NOI is not running reports.,dollar-figure,,no,no
0291,2026-06-01-1100-industry-news-276.md,BOMA 2024 is now operative.,industry-stat,,yes,no
0292,2026-06-01-1100-industry-news-276.md,SB 1103 is in its second year.,legal-regulatory,,yes,no
0293,2026-06-01-1100-industry-news-276.md,Harris County assessment increases for 2025 run 10-18% per Dallas Central Appraisal District filings; Chicago-area townships are similar per Cook County Assessor data; Phoenix metro assessments are up sharply per Maricopa County Assessor records.,industry-stat,Dallas Central Appraisal District,yes,no
0294,2026-06-01-1100-industry-news-276.md,Tax is typically 25-40% of the CAM pool.,percentage,,no,no
0295,2026-06-01-1100-industry-news-276.md,"The 15-point checklist for the 2026 season includes: BOMA 2024 denominator verification, SB 1103 documentation requirements for California properties, and a property tax cover letter for markets with above-average assessment increases.",legal-regulatory,,yes,no
0296,2026-06-01-1300-erp-workarounds-278.md,"In MRI, the chain runs: Expense Group → Recovery Pool → Charge Code → Lease Recovery → Tenant Billing.",vendor-product,,yes,no
0297,2026-06-01-1400-war-stories-279.md,California's SB 1103 requires a specific sequence for treble damages to attach.,legal-regulatory,,yes,no
0298,2026-06-01-1500-cam-math-280.md,"This is why BOMA exclusions, GAAP-defined CapEx, and above-market management fee provisions matter beyond the specific dollar amount.",legal-regulatory,,yes,no
0299,2026-06-01-1500-cam-math-280.md,"If a lease says ""capital expenditures as defined under GAAP"" are excluded, any account that contains CapEx. even partially. needs to be cleaned before the pool is finalized.",legal-regulatory,,yes,no
